0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
BE	CZ	DK	FR	DE	IE	IT	NL	PL	ES	SE	CH	US	AR	CL	PE	CN
AT	FI	FR	DE	HU	IE	IT	NL	NO	PL	ES	SE	GB	US	BR	CL	MA
AT	BE	CZ	DK	FI	FR	DE	IE	IT	NL	PL	RU	CH	GB	CA	US	AR
AT	DK	FR	DE	GR	HU	IT	NO	SE	CH	GB	MY	TH				
AT	BE	CZ	DK	EE	FI	FR	DE	GR	IE	IT	NL	ES	SE	CH	TR	GB
FR	IT	GB														
CZ	FR	DE	IE	IT	NL	GB	CA	US								
IE	GB	US														
BE	FR	DE	IT	US	AU	NZ										
BE	CZ	DK	FR	DE	NL	ES	SE	CH	GB	CA	US	CN	JP	MY	KR	TH
CZ	DK	EE	FI	FR	DE	GR	NO	RU	ES	SE	TR	GB	US	AR	CL	PE
AT	CZ	DK	EE	FR	DE	HU	NL	PL	RU	SE	CH	TR	GB	ZA	QA	
