A	B	support	confidence	lift
Amsterdam	Barcelona	0.13043478	0.75000000	4.31250000
Barcelona	Amsterdam	0.13043478	0.75000000	4.31250000
Amsterdam	Chicago	0.13043478	0.75000000	1.56818182
Chicago	Amsterdam	0.13043478	0.27272727	1.56818182
Amsterdam	D.C.	0.13043478	0.75000000	1.23214286
D.C.	Amsterdam	0.13043478	0.21428571	1.23214286
Amsterdam	Las Vegas	0.13043478	0.75000000	1.07812500
Amsterdam	London	0.13043478	0.75000000	2.15625000
London	Amsterdam	0.13043478	0.37500000	2.15625000
Amsterdam	Los Angeles	0.13043478	0.75000000	1.01470588
Amsterdam	New York	0.17391304	1.00000000	1.35294118
New York	Amsterdam	0.17391304	0.23529412	1.35294118
Amsterdam	Orlando	0.13043478	0.75000000	1.23214286
Orlando	Amsterdam	0.13043478	0.21428571	1.23214286
Amsterdam	Paris	0.17391304	1.00000000	2.87500000
Paris	Amsterdam	0.17391304	0.50000000	2.87500000
Amsterdam	San Francisco	0.13043478	0.75000000	1.32692308
San Francisco	Amsterdam	0.13043478	0.23076923	1.32692308
Amsterdam	Washington	0.13043478	0.75000000	1.23214286
Washington	Amsterdam	0.13043478	0.21428571	1.23214286
Barcelona	Chicago	0.13043478	0.75000000	1.56818182
Chicago	Barcelona	0.13043478	0.27272727	1.56818182
Barcelona	D.C.	0.13043478	0.75000000	1.23214286
D.C.	Barcelona	0.13043478	0.21428571	1.23214286
Barcelona	Las Vegas	0.13043478	0.75000000	1.07812500
Barcelona	London	0.17391304	1.00000000	2.87500000
London	Barcelona	0.17391304	0.50000000	2.87500000
Barcelona	New York	0.13043478	0.75000000	1.01470588
Barcelona	Paris	0.17391304	1.00000000	2.87500000
Paris	Barcelona	0.17391304	0.50000000	2.87500000
Barcelona	San Francisco	0.13043478	0.75000000	1.32692308
San Francisco	Barcelona	0.13043478	0.23076923	1.32692308
Barcelona	Washington	0.13043478	0.75000000	1.23214286
Washington	Barcelona	0.13043478	0.21428571	1.23214286
Beijing	Boston	0.13043478	1.00000000	2.55555556
Boston	Beijing	0.13043478	0.33333333	2.55555556
Beijing	D.C.	0.13043478	1.00000000	1.64285714
D.C.	Beijing	0.13043478	0.21428571	1.64285714
Beijing	Las Vegas	0.13043478	1.00000000	1.43750000
Beijing	Los Angeles	0.13043478	1.00000000	1.35294118
Beijing	San Francisco	0.13043478	1.00000000	1.76923077
San Francisco	Beijing	0.13043478	0.23076923	1.76923077
Beijing	Washington	0.13043478	1.00000000	1.64285714
Washington	Beijing	0.13043478	0.21428571	1.64285714
Boston	Cancun	0.30434783	0.77777778	1.37606838
Cancun	Boston	0.30434783	0.53846154	1.37606838
Boston	Chicago	0.26086957	0.66666667	1.39393939
Chicago	Boston	0.26086957	0.54545455	1.39393939
Boston	D.C.	0.30434783	0.77777778	1.27777778
D.C.	Boston	0.30434783	0.50000000	1.27777778
