A	B	support	confidence	lift
Amsterdam	Barcelona	0.14285714	1.00000000	3.50000000
Barcelona	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Dubai	0.14285714	1.00000000	3.50000000
Dubai	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	Amsterdam	0.14285714	0.14285714	1.00000000
Amsterdam	London	0.14285714	1.00000000	3.50000000
London	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	Amsterdam	0.14285714	0.20000000	1.40000000
Amsterdam	Madrid	0.14285714	1.00000000	7.00000000
Madrid	Amsterdam	0.14285714	1.00000000	7.00000000
Amsterdam	Miami	0.14285714	1.00000000	3.50000000
Miami	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	New York	0.14285714	1.00000000	1.40000000
New York	Amsterdam	0.14285714	0.20000000	1.40000000
Amsterdam	Orlando	0.14285714	1.00000000	3.50000000
Orlando	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Paris	0.14285714	1.00000000	3.50000000
Paris	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Rome	0.14285714	1.00000000	7.00000000
Rome	Amsterdam	0.14285714	1.00000000	7.00000000
Amsterdam	Singapore	0.14285714	1.00000000	3.50000000
Singapore	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Venice	0.14285714	1.00000000	3.50000000
Venice	Amsterdam	0.14285714	0.50000000	3.50000000
Amsterdam	Washington D.C.	0.14285714	1.00000000	1.75000000
Washington D.C.	Amsterdam	0.14285714	0.25000000	1.75000000
Athens	Dubai	0.14285714	1.00000000	3.50000000
Dubai	Athens	0.14285714	0.50000000	3.50000000
Athens	Hong Kong	0.14285714	1.00000000	3.50000000
Hong Kong	Athens	0.14285714	0.50000000	3.50000000
Athens	Las Vegas	0.14285714	1.00000000	1.00000000
Las Vegas	Athens	0.14285714	0.14285714	1.00000000
Athens	Los Angeles	0.14285714	1.00000000	1.40000000
Los Angeles	Athens	0.14285714	0.20000000	1.40000000
Athens	New Delhi	0.14285714	1.00000000	7.00000000
New Delhi	Athens	0.14285714	1.00000000	7.00000000
Athens	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	Athens	0.14285714	0.20000000	1.40000000
Athens	Singapore	0.14285714	1.00000000	3.50000000
Singapore	Athens	0.14285714	0.50000000	3.50000000
Barcelona	Cancun	0.14285714	0.50000000	1.16666667
Cancun	Barcelona	0.14285714	0.33333333	1.16666667
Barcelona	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Barcelona	0.14285714	0.25000000	0.87500000
Barcelona	Dubai	0.14285714	0.50000000	1.75000000
Dubai	Barcelona	0.14285714	0.50000000	1.75000000
Barcelona	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Barcelona	0.14285714	0.50000000	1.75000000
Barcelona	Las Vegas	0.28571429	1.00000000	1.00000000
Las Vegas	Barcelona	0.28571429	0.28571429	1.00000000
Barcelona	London	0.28571429	1.00000000	3.50000000
London	Barcelona	0.28571429	1.00000000	3.50000000
Barcelona	Los Angeles	0.14285714	0.50000000	0.70000000
Los Angeles	Barcelona	0.14285714	0.20000000	0.70000000
Barcelona	Madrid	0.14285714	0.50000000	3.50000000
