A	B	support	confidence	lift
Amsterdam	Athens	0.28571429	1.00000000	3.50000000
Athens	Amsterdam	0.28571429	1.00000000	3.50000000
Amsterdam	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Amsterdam	0.14285714	0.50000000	1.75000000
Amsterdam	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Amsterdam	0.14285714	1.00000000	3.50000000
Amsterdam	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Amsterdam	0.28571429	0.66666667	2.33333333
Amsterdam	Berlin	0.28571429	1.00000000	3.50000000
Berlin	Amsterdam	0.28571429	1.00000000	3.50000000
Amsterdam	Boston	0.28571429	1.00000000	2.33333333
Boston	Amsterdam	0.28571429	0.66666667	2.33333333
Amsterdam	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Amsterdam	0.28571429	0.50000000	1.75000000
Amsterdam	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Amsterdam	0.28571429	0.50000000	1.75000000
Amsterdam	Hong Kong	0.28571429	1.00000000	3.50000000
Hong Kong	Amsterdam	0.28571429	1.00000000	3.50000000
Amsterdam	Honolulu	0.14285714	0.50000000	1.16666667
Honolulu	Amsterdam	0.14285714	0.33333333	1.16666667
Amsterdam	Las Vegas	0.28571429	1.00000000	1.16666667
Las Vegas	Amsterdam	0.28571429	0.33333333	1.16666667
Amsterdam	London	0.14285714	0.50000000	1.16666667
London	Amsterdam	0.14285714	0.33333333	1.16666667
Amsterdam	Los Angeles	0.28571429	1.00000000	1.00000000
Los Angeles	Amsterdam	0.28571429	0.28571429	1.00000000
Amsterdam	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Amsterdam	0.14285714	1.00000000	3.50000000
Amsterdam	Miami	0.14285714	0.50000000	1.16666667
Miami	Amsterdam	0.14285714	0.33333333	1.16666667
Amsterdam	Montreal	0.14285714	0.50000000	1.75000000
Montreal	Amsterdam	0.14285714	0.50000000	1.75000000
Amsterdam	New York	0.28571429	1.00000000	1.40000000
New York	Amsterdam	0.28571429	0.40000000	1.40000000
Amsterdam	Orlando	0.28571429	1.00000000	1.16666667
Orlando	Amsterdam	0.28571429	0.33333333	1.16666667
Amsterdam	Paris	0.28571429	1.00000000	1.40000000
Paris	Amsterdam	0.28571429	0.40000000	1.40000000
Amsterdam	Rome	0.28571429	1.00000000	2.33333333
Rome	Amsterdam	0.28571429	0.66666667	2.33333333
Amsterdam	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Amsterdam	0.28571429	0.40000000	1.40000000
Amsterdam	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Amsterdam	0.14285714	1.00000000	3.50000000
Amsterdam	Sydney	0.28571429	1.00000000	2.33333333
Sydney	Amsterdam	0.28571429	0.66666667	2.33333333
Amsterdam	Tokyo	0.28571429	1.00000000	3.50000000
Tokyo	Amsterdam	0.28571429	1.00000000	3.50000000
Amsterdam	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Amsterdam	0.14285714	0.50000000	1.75000000
Amsterdam	Venice	0.28571429	1.00000000	3.50000000
Venice	Amsterdam	0.28571429	1.00000000	3.50000000
Amsterdam	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Amsterdam	0.28571429	0.50000000	1.75000000
Athens	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Athens	0.14285714	0.50000000	1.75000000
Athens	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Athens	0.14285714	1.00000000	3.50000000
Athens	Beijing	0.28571429	1.00000000	2.33333333
Beijing	Athens	0.28571429	0.66666667	2.33333333
Athens	Berlin	0.28571429	1.00000000	3.50000000
Berlin	Athens	0.28571429	1.00000000	3.50000000
Athens	Boston	0.28571429	1.00000000	2.33333333
Boston	Athens	0.28571429	0.66666667	2.33333333
Athens	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Athens	0.28571429	0.50000000	1.75000000
Athens	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Athens	0.28571429	0.50000000	1.75000000
Athens	Hong Kong	0.28571429	1.00000000	3.50000000
Hong Kong	Athens	0.28571429	1.00000000	3.50000000
Athens	Honolulu	0.14285714	0.50000000	1.16666667
Honolulu	Athens	0.14285714	0.33333333	1.16666667
Athens	Las Vegas	0.28571429	1.00000000	1.16666667
Las Vegas	Athens	0.28571429	0.33333333	1.16666667
Athens	London	0.14285714	0.50000000	1.16666667
London	Athens	0.14285714	0.33333333	1.16666667
Athens	Los Angeles	0.28571429	1.00000000	1.00000000
Los Angeles	Athens	0.28571429	0.28571429	1.00000000
Athens	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Athens	0.14285714	1.00000000	3.50000000
Athens	Miami	0.14285714	0.50000000	1.16666667
Miami	Athens	0.14285714	0.33333333	1.16666667
Athens	Montreal	0.14285714	0.50000000	1.75000000
Montreal	Athens	0.14285714	0.50000000	1.75000000
Athens	New York	0.28571429	1.00000000	1.40000000
New York	Athens	0.28571429	0.40000000	1.40000000
Athens	Orlando	0.28571429	1.00000000	1.16666667
Orlando	Athens	0.28571429	0.33333333	1.16666667
Athens	Paris	0.28571429	1.00000000	1.40000000
Paris	Athens	0.28571429	0.40000000	1.40000000
Athens	Rome	0.28571429	1.00000000	2.33333333
Rome	Athens	0.28571429	0.66666667	2.33333333
Athens	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Athens	0.28571429	0.40000000	1.40000000
Athens	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Athens	0.14285714	1.00000000	3.50000000
Athens	Sydney	0.28571429	1.00000000	2.33333333
Sydney	Athens	0.28571429	0.66666667	2.33333333
Athens	Tokyo	0.28571429	1.00000000	3.50000000
Tokyo	Athens	0.28571429	1.00000000	3.50000000
Athens	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Athens	0.14285714	0.50000000	1.75000000
Athens	Venice	0.28571429	1.00000000	3.50000000
Venice	Athens	0.28571429	1.00000000	3.50000000
Athens	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Athens	0.28571429	0.50000000	1.75000000
Bangkok	Barcelona	0.14285714	0.50000000	3.50000000
Barcelona	Bangkok	0.14285714	1.00000000	3.50000000
Bangkok	Beijing	0.14285714	0.50000000	1.16666667
Beijing	Bangkok	0.14285714	0.33333333	1.16666667
Bangkok	Berlin	0.14285714	0.50000000	1.75000000
Berlin	Bangkok	0.14285714	0.50000000	1.75000000
Bangkok	Boston	0.14285714	0.50000000	1.16666667
Boston	Bangkok	0.14285714	0.33333333	1.16666667
