A	B	support	confidence	lift
Amsterdam	Barcelona	0.18181818	1.00000000	5.50000000
Barcelona	Amsterdam	0.18181818	1.00000000	5.50000000
Amsterdam	Chicago	0.18181818	1.00000000	2.20000000
Chicago	Amsterdam	0.18181818	0.40000000	2.20000000
Amsterdam	London	0.18181818	1.00000000	2.75000000
London	Amsterdam	0.18181818	0.50000000	2.75000000
Amsterdam	New York	0.18181818	1.00000000	1.37500000
New York	Amsterdam	0.18181818	0.25000000	1.37500000
Amsterdam	Paris	0.18181818	1.00000000	5.50000000
Paris	Amsterdam	0.18181818	1.00000000	5.50000000
Amsterdam	San Francisco	0.18181818	1.00000000	1.83333333
San Francisco	Amsterdam	0.18181818	0.33333333	1.83333333
Barcelona	Chicago	0.18181818	1.00000000	2.20000000
Chicago	Barcelona	0.18181818	0.40000000	2.20000000
Barcelona	London	0.18181818	1.00000000	2.75000000
London	Barcelona	0.18181818	0.50000000	2.75000000
Barcelona	New York	0.18181818	1.00000000	1.37500000
New York	Barcelona	0.18181818	0.25000000	1.37500000
Barcelona	Paris	0.18181818	1.00000000	5.50000000
Paris	Barcelona	0.18181818	1.00000000	5.50000000
Barcelona	San Francisco	0.18181818	1.00000000	1.83333333
San Francisco	Barcelona	0.18181818	0.33333333	1.83333333
Boston	Cancun	0.45454545	0.83333333	1.30952381
Cancun	Boston	0.45454545	0.71428571	1.30952381
Boston	Chicago	0.36363636	0.66666667	1.46666667
Chicago	Boston	0.36363636	0.80000000	1.46666667
Boston	Dubai	0.18181818	0.33333333	0.91666667
Dubai	Boston	0.18181818	0.50000000	0.91666667
Boston	Honolulu	0.27272727	0.50000000	1.10000000
Honolulu	Boston	0.27272727	0.60000000	1.10000000
Boston	Las Vegas	0.36363636	0.66666667	1.22222222
Las Vegas	Boston	0.36363636	0.66666667	1.22222222
Boston	London	0.27272727	0.50000000	1.37500000
London	Boston	0.27272727	0.75000000	1.37500000
Boston	Los Angeles	0.45454545	0.83333333	1.14583333
Los Angeles	Boston	0.45454545	0.62500000	1.14583333
Boston	Mexico City	0.18181818	0.33333333	1.83333333
Mexico City	Boston	0.18181818	1.00000000	1.83333333
Boston	Miami	0.18181818	0.33333333	1.22222222
Miami	Boston	0.18181818	0.66666667	1.22222222
Boston	New York	0.36363636	0.66666667	0.91666667
New York	Boston	0.36363636	0.50000000	0.91666667
Boston	Orlando	0.36363636	0.66666667	1.04761905
Orlando	Boston	0.36363636	0.57142857	1.04761905
Boston	San Francisco	0.18181818	0.33333333	0.61111111
San Francisco	Boston	0.18181818	0.33333333	0.61111111
Boston	Toronto	0.36363636	0.66666667	1.46666667
Toronto	Boston	0.36363636	0.80000000	1.46666667
Boston	Vancouver	0.18181818	0.33333333	1.83333333
Vancouver	Boston	0.18181818	1.00000000	1.83333333
Boston	Washington D.C.	0.45454545	0.83333333	1.30952381
Washington D.C.	Boston	0.45454545	0.71428571	1.30952381
Cancun	Chicago	0.36363636	0.57142857	1.25714286
Chicago	Cancun	0.36363636	0.80000000	1.25714286
Cancun	Dubai	0.36363636	0.57142857	1.57142857
Dubai	Cancun	0.36363636	1.00000000	1.57142857
Cancun	Honolulu	0.36363636	0.57142857	1.25714286
Honolulu	Cancun	0.36363636	0.80000000	1.25714286
Cancun	Las Vegas	0.36363636	0.57142857	1.04761905
Las Vegas	Cancun	0.36363636	0.66666667	1.04761905
Cancun	London	0.27272727	0.42857143	1.17857143
London	Cancun	0.27272727	0.75000000	1.17857143
Cancun	Los Angeles	0.45454545	0.71428571	0.98214286
Los Angeles	Cancun	0.45454545	0.62500000	0.98214286
Cancun	Mexico City	0.18181818	0.28571429	1.57142857
Mexico City	Cancun	0.18181818	1.00000000	1.57142857
Cancun	Miami	0.27272727	0.42857143	1.57142857
Miami	Cancun	0.27272727	1.00000000	1.57142857
Cancun	Nassau	0.18181818	0.28571429	1.57142857
Nassau	Cancun	0.18181818	1.00000000	1.57142857
Cancun	New Delhi	0.18181818	0.28571429	1.57142857
New Delhi	Cancun	0.18181818	1.00000000	1.57142857
Cancun	New York	0.54545455	0.85714286	1.17857143
New York	Cancun	0.54545455	0.75000000	1.17857143
Cancun	Orlando	0.54545455	0.85714286	1.34693878
Orlando	Cancun	0.54545455	0.85714286	1.34693878
Cancun	San Francisco	0.27272727	0.42857143	0.78571429
San Francisco	Cancun	0.27272727	0.50000000	0.78571429
Cancun	San Juan	0.18181818	0.28571429	1.57142857
San Juan	Cancun	0.18181818	1.00000000	1.57142857
Cancun	Toronto	0.36363636	0.57142857	1.25714286
Toronto	Cancun	0.36363636	0.80000000	1.25714286
Cancun	Washington D.C.	0.45454545	0.71428571	1.12244898
Washington D.C.	Cancun	0.45454545	0.71428571	1.12244898
Chicago	Dubai	0.18181818	0.40000000	1.10000000
Dubai	Chicago	0.18181818	0.50000000	1.10000000
Chicago	Honolulu	0.18181818	0.40000000	0.88000000
Honolulu	Chicago	0.18181818	0.40000000	0.88000000
Chicago	Las Vegas	0.36363636	0.80000000	1.46666667
Las Vegas	Chicago	0.36363636	0.66666667	1.46666667
Chicago	London	0.36363636	0.80000000	2.20000000
London	Chicago	0.36363636	1.00000000	2.20000000
Chicago	Los Angeles	0.36363636	0.80000000	1.10000000
Los Angeles	Chicago	0.36363636	0.50000000	1.10000000
Chicago	Miami	0.18181818	0.40000000	1.46666667
Miami	Chicago	0.18181818	0.66666667	1.46666667
Chicago	New York	0.45454545	1.00000000	1.37500000
New York	Chicago	0.45454545	0.62500000	1.37500000
Chicago	Orlando	0.27272727	0.60000000	0.94285714
Orlando	Chicago	0.27272727	0.42857143	0.94285714
Chicago	Paris	0.18181818	0.40000000	2.20000000
Paris	Chicago	0.18181818	1.00000000	2.20000000
Chicago	San Francisco	0.18181818	0.40000000	0.73333333
San Francisco	Chicago	0.18181818	0.33333333	0.73333333
Chicago	Toronto	0.27272727	0.60000000	1.32000000
Toronto	Chicago	0.27272727	0.60000000	1.32000000
Chicago	Washington D.C.	0.36363636	0.80000000	1.25714286
Washington D.C.	Chicago	0.36363636	0.57142857	1.25714286
Dubai	Honolulu	0.18181818	0.50000000	1.10000000
Honolulu	Dubai	0.18181818	0.40000000	1.10000000
Dubai	Las Vegas	0.27272727	0.75000000	1.37500000
Las Vegas	Dubai	0.27272727	0.50000000	1.37500000
Dubai	Los Angeles	0.27272727	0.75000000	1.03125000
Los Angeles	Dubai	0.27272727	0.37500000	1.03125000
Dubai	New Delhi	0.18181818	0.50000000	2.75000000
New Delhi	Dubai	0.18181818	1.00000000	2.75000000
Dubai	New York	0.36363636	1.00000000	1.37500000
New York	Dubai	0.36363636	0.50000000	1.37500000
Dubai	Orlando	0.27272727	0.75000000	1.17857143
Orlando	Dubai	0.27272727	0.42857143	1.17857143
Dubai	San Francisco	0.18181818	0.50000000	0.91666667
San Francisco	Dubai	0.18181818	0.33333333	0.91666667
Dubai	Toronto	0.18181818	0.50000000	1.10000000
Toronto	Dubai	0.18181818	0.40000000	1.10000000
Dubai	Washington D.C.	0.27272727	0.75000000	1.17857143
Washington D.C.	Dubai	0.27272727	0.42857143	1.17857143
Hong Kong	San Francisco	0.18181818	1.00000000	1.83333333
San Francisco	Hong Kong	0.18181818	0.33333333	1.83333333
Hong Kong	Washington D.C.	0.18181818	1.00000000	1.57142857
Washington D.C.	Hong Kong	0.18181818	0.28571429	1.57142857
Honolulu	Las Vegas	0.27272727	0.60000000	1.10000000
Las Vegas	Honolulu	0.27272727	0.50000000	1.10000000
Honolulu	London	0.18181818	0.40000000	1.10000000
London	Honolulu	0.18181818	0.50000000	1.10000000
Honolulu	Los Angeles	0.36363636	0.80000000	1.10000000
Los Angeles	Honolulu	0.36363636	0.50000000	1.10000000
Honolulu	Mexico City	0.18181818	0.40000000	2.20000000
Mexico City	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	Nassau	0.18181818	0.40000000	2.20000000
Nassau	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	New Delhi	0.18181818	0.40000000	2.20000000
New Delhi	Honolulu	0.18181818	1.00000000	2.20000000
Honolulu	New York	0.36363636	0.80000000	1.10000000
New York	Honolulu	0.36363636	0.50000000	1.10000000
